% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.546261802e+03 +1.546261802e+03 +1.084171802e+03 +1.084171802e+03 -2.6739e+00 +4.8347e+00 -4.4076e+00 -1.7344e+00 +2.8044e+00 +1.1259e+00 +2.4477e+00 +4.2361e+00 +3.8257e+00 +1.0097e+00 -8.6627e-01 -4.5337e+00 -2.6182e+00 +1.6940e+00 +3.1943e+00 -4.9792e+00 +4.4172e+00 +3.5140e-01 -3.0392e+00 -1.7338e+00
55 +8.976983626e+02 +8.976983626e+02 +4.356083626e+02 +4.356083626e+02 -1.8239e+00 +1.0227e+00 -3.6512e+00 -2.6572e-01 +2.1092e+00 -4.5679e-02 +4.3075e+00 +4.4667e+00 +2.0187e+00 -4.7855e-01 -3.6637e+00 -4.6199e+00 +3.9261e+00 +1.1875e-01 +3.1245e-01 -4.1615e+00 -4.4253e+00 +4.5991e+00 -4.3420e+00 -2.7464e+00
1472 +5.296112699e+02 +5.296112699e+02 +6.752126992e+01 +6.752126992e+01 +8.4259e-01 -2.4818e+00 +3.2690e+00 +3.8480e-01 -4.1532e+00 -4.8574e+00 +3.9118e+00 +3.0270e+00 +2.9490e-02 -1.8056e+00 -4.4199e+00 -1.1785e+00 -3.4641e+00 -4.2059e+00 -1.7669e+00 -4.7837e+00 +1.0225e+00 +3.2136e+00 -4.9381e+00 +1.0015e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.629358963e+03 +1.629358963e+03 +1.707018963e+03 +1.707018963e+03 -1.3015e+00 +3.1614e+00 +3.7835e+00 -7.2372e-01 -4.3525e+00 -3.0237e+00 +1.1609e+00 +2.3769e+00 +4.1047e+00 -4.6154e+00 +1.7080e+00 -3.5882e+00 -4.3958e+00 -2.8100e+00 -1.9075e+00 +3.5027e-01 -1.2811e+00 +9.6611e-01 -3.3986e+00 +5.8811e-01
2 +1.529647819e+03 +1.529647819e+03 +1.607307819e+03 +1.607307819e+03 +2.6614e+00 +4.1725e+00 +1.5120e+00 -4.1250e+00 -8.0808e-01 +1.7258e+00 -4.3745e+00 -1.3674e+00 +1.0280e+00 -4.6825e+00 +3.6245e+00 -2.0672e+00 +1.5526e+00 -4.3684e+00 +3.4013e+00 -6.0592e-01 -2.6773e+00 +3.5353e-01 +2.0912e+00 -2.5674e+00
28 +7.368840733e+02 +7.368840733e+02 +8.145440733e+02 +8.145440733e+02 -9.1954e-01 -4.6718e-01 +9.7889e-01 +2.7990e+00 -3.9738e+00 -2.3508e+00 -4.8616e+00 +1.9175e+00 -3.3953e+00 -4.9967e+00 -3.4285e+00 +1.4522e+00 -1.8245e+00 -3.4306e+00 -2.8147e+00 -4.1964e+00 -3.0191e+00 -3.9440e+00 +1.9024e+00 -3.1409e+00
204 +5.471449893e+02 +5.471449893e+02 +6.248049893e+02 +6.248049893e+02 +1.3614e+00 +2.1838e+00 -2.3537e+00 -3.3607e+00 -3.8360e+00 -8.2088e-01 -4.7874e+00 +1.5238e+00 +3.5734e+00 -4.2176e+00 +4.5981e+00 -3.5675e+00 -2.5632e+00 -2.2547e+00 -4.2601e+00 +1.1681e+00 -2.7573e+00 -2.2662e+00 +3.1599e+00 -2.7985e+00
3925 +3.970885140e+02 +3.970885140e+02 +4.747485140e+02 +4.747485140e+02 +3.6186e+00 +3.5923e-01 +2.4003e+00 +3.9561e+00 -2.6190e+00 +1.1006e-01 -2.7348e+00 -2.2290e+00 +2.7881e+00 -1.6449e-01 +1.9308e+00 -1.9805e+00 -8.6869e-01 -2.0385e+00 -2.2998e+00 -6.8521e-01 -1.3469e+00 -3.8874e+00 +3.1075e+00 -1.9910e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
