% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.061184460e+07 +1.061184460e+07 +1.061163472e+07 +1.061163472e+07 +3.9356e+00 -2.1656e+00 +1.6268e+00 -4.0952e+00 +9.0404e-01 -2.1378e+00 +4.0631e+00 +1.9080e+00 +1.6377e+00 -2.7795e-01 -2.9876e+00 -1.2477e+00 +3.6518e+00 +4.3110e+00 +4.3216e-01 +2.4002e+00 +3.1124e+00 +3.3352e+00 -2.8125e+00 +3.8164e+00
6 +7.493993613e+06 +7.493993613e+06 +7.493783733e+06 +7.493783733e+06 +3.9042e+00 +4.4064e+00 -4.5596e+00 -1.5713e+00 +2.7149e-01 -3.3022e+00 +2.8372e+00 +4.0492e+00 +4.9109e+00 +2.8455e+00 +3.5209e+00 +1.7011e+00 -5.6163e-01 +3.0398e+00 -1.7528e-01 +4.7797e+00 -3.2288e+00 +2.9617e+00 -3.3016e+00 +3.6892e-01
22 +4.893392247e+06 +4.893392247e+06 +4.893182367e+06 +4.893182367e+06 -3.1893e+00 -4.0295e+00 -3.0091e+00 +5.0598e-01 -4.8376e+00 +3.7174e+00 +2.2214e+00 +2.2526e+00 +2.5451e+00 +2.7811e+00 -3.5545e+00 +1.1398e+00 -3.1751e+00 +9.4405e-02 -4.4576e+00 +2.3359e+00 -1.3883e+00 +4.2046e+00 -1.6521e+00 +8.0134e-01
49 +2.900033976e+06 +2.900033976e+06 +2.899824096e+06 +2.899824096e+06 +1.4482e+00 +1.9118e+00 +4.2196e+00 -4.4904e+00 -2.7105e+00 -9.6670e-01 +2.0861e+00 +2.8663e+00 -4.8509e-01 -6.5543e-02 -6.3197e-01 +1.3686e+00 -2.7654e+00 -3.0463e+00 -3.4623e+00 -4.5914e+00 -3.9389e+00 -9.0200e-03 -2.3156e+00 +2.4332e+00
114 +8.664360667e+05 +8.664360667e+05 +8.662261867e+05 +8.662261867e+05 -1.6067e+00 +3.9839e+00 +4.8132e+00 -1.8141e+00 +7.9770e-01 -7.4052e-01 +4.3102e+00 -9.3816e-01 +3.1791e+00 +7.4397e-01 -4.5291e+00 +1.9030e+00 +1.3288e+00 -3.0989e+00 -3.3659e+00 -1.5596e+00 -2.1183e+00 +2.8365e+00 -1.7366e+00 +2.0568e+00
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.040154274e+07 +1.040154274e+07 +1.040145065e+07 +1.040145065e+07 +2.0779e+00 +3.8749e+00 -3.6774e+00 -4.9013e+00 -6.4304e-01 +1.9795e+00 +2.5652e+00 -3.5529e+00 +3.3191e+00 +4.7213e+00 -5.3469e-03 +1.3608e+00 -3.5275e+00 +2.1499e+00 -3.4964e+00 +9.7527e-01 -1.2597e+00 -1.5921e+00 +3.8747e+00 -1.6100e+00
27 +8.221195875e+06 +8.221195875e+06 +8.221103785e+06 +8.221103785e+06 -8.8643e-01 +2.4628e+00 +4.0353e+00 -4.1396e-01 -1.4786e+00 -9.9493e-01 +4.5776e+00 +3.5424e+00 +2.4226e+00 +3.0355e+00 -2.7685e+00 +8.5669e-01 -4.1734e+00 -3.5504e+00 +4.8143e+00 +3.9097e+00 +2.5952e+00 +1.0786e+00 +2.9798e+00 -1.0674e+00
47 +5.425378402e+06 +5.425378402e+06 +5.425286312e+06 +5.425286312e+06 -2.1990e+00 -4.9606e+00 -2.9674e+00 +1.8614e+00 -1.4533e+00 +2.5165e-01 +4.5691e+00 -1.7389e+00 -3.5486e+00 -3.6173e+00 -2.7927e-01 +3.1222e+00 -1.6891e+00 +8.4736e-01 +1.8784e-01 +1.1620e+00 +6.8294e-01 +3.6772e+00 +1.0978e+00 +3.3380e-01
63 +2.889446732e+06 +2.889446732e+06 +2.889354642e+06 +2.889354642e+06 -1.1974e+00 +3.3699e+00 -2.3799e+00 +2.9881e+00 +4.0382e+00 -4.2237e+00 -1.9155e+00 -2.7315e-01 +1.1669e+00 +4.6882e+00 +4.8269e+00 -1.8629e+00 +1.4974e+00 +8.8723e-01 +3.0906e+00 -1.9068e+00 +6.6468e-01 +4.2782e+00 +2.0220e+00 -1.4751e+00
