% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.409243273e+01 +4.409243273e+01 +2.715243273e+01 +2.715243273e+01 +1.8986e+00 -2.1532e+00 +8.9720e-01 -4.4158e+00 -3.7016e+00 -6.3037e-01 +3.5766e+00 +2.6165e+00 +4.3507e+00 -3.6495e+00 +4.5940e+00 +1.7149e+00 -4.6149e+00 -4.9566e+00 +2.6183e+00 -3.4728e+00 -3.8036e+00 -2.9562e+00 +4.7389e-01 +6.0982e-01
3 +3.758493111e+01 +3.758493111e+01 +2.064493111e+01 +2.064493111e+01 +1.8817e-01 +2.1365e-01 -8.4489e-02 -2.4819e+00 +1.4582e-01 -2.1189e+00 +1.2782e+00 -2.2401e+00 +1.7994e+00 +3.8717e+00 +4.7309e+00 +3.0209e+00 -7.9921e-01 +1.9944e+00 +2.7411e+00 +4.3647e+00 -3.1786e+00 +8.1249e-01 -2.9777e+00 -1.0294e+00
14 +2.179588051e+01 +2.179588051e+01 +4.855880513e+00 +4.855880513e+00 +3.3266e+00 -4.1509e+00 +2.6235e-01 -4.0282e+00 +2.6159e+00 -4.2906e+00 +3.7572e+00 +6.5019e-01 -4.7964e+00 +5.0941e-01 +2.5925e+00 -3.6397e+00 -1.6751e-01 +2.6186e+00 +3.5761e+00 -2.1801e+00 +4.2914e+00 +2.3523e+00 +4.0594e+00 +2.7464e+00
217 +1.183557698e+01 +1.183557698e+01 -5.104423020e+00 -5.104423020e+00 +2.9110e+00 -8.0603e-01 -1.7317e-01 +6.8490e-01 +7.1965e-01 -2.6748e+00 -7.0121e-02 +1.0549e+00 +1.9571e+00 -4.9689e+00 +2.9283e+00 -7.6504e-01 -2.6657e+00 -1.0921e+00 -1.3456e+00 +3.3863e+00 +2.1417e+00 +7.7330e-01 +3.6509e+00 -2.8308e+00
2468 +9.512922509e+00 +9.512922509e+00 -7.427077491e+00 -7.427077491e+00 +2.9036e+00 +3.8095e+00 -1.5457e+00 -2.4372e+00 +2.8753e+00 -3.4938e+00 +2.7697e+00 -6.9094e-01 -4.3666e+00 -2.5012e+00 +1.9032e+00 -2.0390e+00 +4.1016e+00 -1.7342e+00 +2.5333e+00 +4.1928e+00 +2.8013e+00 -2.6913e+00 +1.3256e+00 +3.4279e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.822736612e+01 +3.822736612e+01 +5.703736612e+01 +5.703736612e+01 -4.8468e+00 -2.0580e+00 -2.4616e-01 -1.0312e+00 +1.7861e+00 +4.3139e+00 -2.6051e+00 -8.3784e-01 +9.2079e-01 -1.2752e+00 +3.8559e+00 +4.3085e+00 -4.5661e+00 -4.9556e+00 +2.4217e-01 -4.4738e+00 -2.4032e-01 +5.1128e-01 +2.5306e+00 -2.3880e+00
5 +2.144027141e+01 +2.144027141e+01 +4.025027141e+01 +4.025027141e+01 -3.7214e+00 -4.9621e-01 -2.5867e+00 +1.6580e+00 +3.6581e+00 +1.6988e+00 -5.2687e-01 -1.1301e+00 -3.6687e+00 +4.9644e+00 -2.1004e+00 +3.9367e+00 +2.7045e+00 +1.0022e-01 -4.8639e+00 -1.4451e+00 +1.4679e-01 -2.6792e-01 +3.0470e+00 -1.3034e+00
20 +1.424427631e+01 +1.424427631e+01 +3.305427631e+01 +3.305427631e+01 +2.5955e+00 -3.2956e+00 +8.9787e-01 -2.9320e+00 -4.2380e-01 +1.0195e+00 +4.2927e-01 +4.2206e+00 -1.0491e+00 +1.8351e+00 -1.9499e+00 +3.5102e+00 -7.7559e-01 -4.8495e+00 +3.3334e+00 +2.9858e+00 +2.1387e+00 +2.3236e+00 -2.3588e-01 +6.3622e-01
616 +9.769345760e+00 +9.769345760e+00 +2.857934576e+01 +2.857934576e+01 -1.0142e+00 +2.2133e+00 +1.5741e+00 -1.0023e+00 +2.0563e+00 +9.2701e-01 +2.6195e+00 -2.1206e+00 +7.4631e-01 +2.4035e+00 -4.0648e+00 -7.9300e-02 +4.6142e+00 +9.6679e-01 -9.5075e-02 -7.1215e-01 -4.3603e+00 -1.7258e+00 -1.6225e+00 +3.0568e+00
