% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2 +1.162328108e+02 +1.162328108e+02 +1.534128108e+02 +1.534128108e+02 +1.1743e+00 -1.0428e+00 -4.0527e+00 +3.6183e+00 +2.2604e-01 -1.3963e+00 -4.5087e-01 -3.7974e+00 +2.3687e+00 -2.4001e-01 -3.3197e+00 -3.0877e+00 +1.5046e+00 -2.5705e+00 -2.3274e+00 +4.1647e+00 +3.5784e+00 +4.0391e+00 +1.1295e+00 +1.0100e+00
12 +7.311757627e+01 +7.311757627e+01 +1.102975763e+02 +1.102975763e+02 -2.6591e+00 -1.6284e+00 +8.3804e-01 +1.8152e+00 -3.1630e+00 +1.1675e+00 +2.8036e+00 -2.9364e+00 +8.9561e-01 +1.7817e+00 -7.9580e-02 +2.9394e+00 +4.1115e+00 +2.8233e+00 +2.0161e+00 -4.5790e+00 -2.8307e+00 +2.5263e+00 -3.0131e+00 +4.7836e+00
38 +5.881753896e+01 +5.881753896e+01 +9.599753896e+01 +9.599753896e+01 -3.2274e+00 +6.6900e-01 -3.8236e+00 -2.1826e+00 -8.7211e-01 +1.8111e+00 -8.6384e-02 +1.3411e+00 -8.2673e-01 -1.2974e+00 -5.6973e-01 -2.6776e-02 -3.9019e+00 -3.6529e+00 +1.8630e+00 +3.4057e+00 +4.5528e+00 +3.8588e+00 +1.4715e+00 +1.7475e+00
864 +3.860871790e+01 +3.860871790e+01 +7.578871790e+01 +7.578871790e+01 -3.5401e-01 +4.5705e+00 +2.9313e+00 -3.1008e+00 -1.1419e+00 -9.8965e-01 -3.5200e+00 -1.7383e+00 -4.6466e+00 +3.7051e+00 -3.2823e-01 +3.7660e+00 -1.7892e-01 -1.0252e+00 +3.5051e+00 +8.2969e-01 +2.4001e+00 -5.1687e-01 +4.8816e+00 +9.2490e-01
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.439907406e+02 +1.439907406e+02 -3.909259380e+00 -3.909259380e+00 -4.6545e+00 -4.0388e+00 +7.4504e-01 +4.2657e+00 -1.4047e+00 +2.5459e+00 +2.7836e+00 -3.8365e+00 -3.3559e+00 -1.2081e-01 -4.0678e+00 -4.7111e+00 +3.5722e+00 +1.3931e-03 +4.2810e+00 -3.1972e+00 +2.0060e+00 -1.3451e+00 +2.3381e+00 +2.6932e+00
3 +6.733754121e+01 +6.733754121e+01 -8.056245879e+01 -8.056245879e+01 +3.7380e+00 -3.7497e+00 +3.0996e+00 -4.5763e+00 -1.0169e+00 -4.7154e+00 +2.3991e+00 +2.3848e-01 -1.7945e-01 +3.5705e+00 -2.9945e+00 -1.0982e+00 -3.2013e+00 +4.7345e+00 +3.0864e+00 -1.6222e+00 +8.8027e-01 -4.4578e+00 -4.7474e+00 +4.4327e-01
40 +5.256503366e+01 +5.256503366e+01 -9.533496634e+01 -9.533496634e+01 +1.3802e+00 +9.4089e-01 -3.3533e+00 -6.2237e-01 -4.8367e+00 -6.3823e-01 -1.0409e-01 -7.6856e-01 -1.0897e+00 +1.3703e+00 -1.0805e+00 +3.0521e+00 -2.6978e+00 -1.3292e+00 -1.8024e+00 -3.4110e+00 +1.1162e+00 -3.4537e+00 -4.2084e+00 +5.0556e-01
566 +3.308058435e+01 +3.308058435e+01 -1.148194156e+02 -1.148194156e+02 +1.8958e+00 +4.0717e+00 +3.4103e+00 -1.1124e+00 +5.6791e-01 -4.2075e+00 +1.6313e-02 -3.2100e+00 +1.9199e-02 +4.8850e+00 -4.6851e+00 -1.6496e+00 -2.0965e-01 +4.9991e-01 +2.6728e+00 -1.9837e+00 -1.1630e+00 -1.1574e+00 -3.3214e+00 +1.8773e-02
% function evaluation | noise-free fitness - Fopt (-2.218900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.430138950e+02 +2.430138950e+02 +2.112389503e+01 +2.112389503e+01 -3.9526e+00 +3.2426e-01 +1.6992e+00 -2.4778e+00 +2.9083e+00 +3.8847e+00 +1.4832e-01 -2.6239e+00 +2.6593e+00 -4.2876e+00 -4.5903e+00 -4.8586e+00 -3.7875e-01 +3.3492e+00 +8.1397e-01 -4.9105e+00 -2.8083e+00 +1.8234e+00 -4.2569e+00 -2.6182e+00
2 +5.741372964e+01 +5.741372964e+01 -1.644762704e+02 -1.644762704e+02 +2.2956e+00 -2.8160e+00 +1.7962e+00 -3.0153e+00 -3.4447e+00 +1.8963e+00 +1.5869e+00 +1.7574e+00 +1.4993e+00 -4.5139e+00 +2.8124e+00 +1.0127e+00 +3.6979e+00 -1.8470e+00 -2.4209e+00 -1.7809e+00 -4.2199e+00 +4.9148e-01 +3.3340e+00 +1.2934e+00
232 +3.226979390e+01 +3.226979390e+01 -1.896202061e+02 -1.896202061e+02 -2.0063e+00 +3.6484e+00 +3.5680e+00 -5.0486e-01 +1.6237e+00 +1.1374e+00 +1.4927e+00 +4.6348e+00 +1.0357e+00 +3.2966e-01 +4.4257e+00 -1.3246e+00 +1.1219e+00 +7.9532e-01 +8.5048e-01 -4.4834e+00 -3.1707e+00 -1.7410e+00 +7.8392e-01 +2.2141e-01
